label,X1,X2,X3,X4
0,2,9,1,1
0,2,6,1,1
0,1,7,1,1
0,1,6,1,1
0,2,9,1,1
0,3,11,1,1
0,1,8,1,1
0,2,8,1,1
0,1,5,1,1
0,2,6,1,1
0,3,10,1,1
0,2,8,1,1
0,2,6,1,1
0,1,6,1,1
0,4,11,1,1
0,4,13,1,1
0,3,11,1,1
0,2,9,1,1
0,4,10,1,1
0,2,10,1,1
0,3,8,1,1
0,2,10,1,1
0,1,9,1,1
0,2,8,1,1
0,2,8,1,1
0,2,6,1,1
0,2,8,1,1
0,2,9,1,1
0,2,8,1,1
0,1,7,1,1
0,2,6,1,1
0,3,8,1,1
0,2,12,1,1
0,3,12,1,1
0,2,6,1,1
0,2,7,1,1
0,3,9,1,1
0,2,6,1,1
0,1,6,1,1
0,2,8,1,1
0,2,9,1,1
0,1,2,1,1
0,1,7,1,1
0,2,9,1,2
0,2,10,1,1
0,2,6,1,1
0,2,10,1,1
0,1,7,1,1
0,3,10,1,1
0,2,8,1,1
1,6,7,4,3
1,5,7,3,3
1,6,6,4,3
1,3,2,3,3
1,5,5,4,3
1,4,5,3,3
1,5,8,4,4
1,2,3,2,2
1,6,5,4,3
1,2,4,3,3
1,2,1,3,2
1,4,6,3,3
1,4,2,3,2
1,4,5,4,3
1,3,5,3,3
1,6,6,3,3
1,3,6,3,3
1,4,4,3,2
1,5,2,3,3
1,3,3,3,3
1,4,7,4,4
1,4,5,3,3
1,5,3,4,3
1,4,5,4,3
1,5,5,3,3
1,6,6,3,3
1,6,5,4,3
1,6,6,4,4
1,4,5,3,3
1,4,4,3,2
1,3,3,3,3
1,3,3,3,2
1,4,4,3,3
1,4,4,4,4
1,3,6,3,3
1,4,8,3,4
1,6,6,4,3
1,5,2,3,3
1,3,6,3,3
1,3,3,3,3
1,3,4,3,3
1,4,6,4,3
1,4,4,3,3
1,2,2,2,2
1,3,4,3,3
1,4,6,3,3
1,4,5,3,3
1,5,5,3,3
1,2,3,2,3
1,4,5,3,3
2,5,8,5,5
2,4,4,4,4
2,7,6,5,5
2,5,5,4,4
2,5,6,5,5
2,8,6,5,5
2,2,3,3,4
2,7,5,5,4
2,6,3,5,4
2,7,9,5,5
2,5,7,4,4
2,5,4,4,4
2,6,6,4,5
2,4,3,4,4
2,4,5,4,5
2,5,7,4,5
2,5,6,4,4
2,8,10,5,5
2,8,4,5,5
2,4,2,4,3
2,6,7,4,5
2,3,5,4,4
2,8,5,5,4
2,5,4,4,4
2,6,8,4,5
2,7,7,5,4
2,5,5,4,4
2,4,6,4,4
2,5,5,4,5
2,7,6,5,4
2,7,5,5,4
2,8,10,5,4
2,5,5,4,5
2,5,5,4,3
2,4,4,4,3
2,8,6,5,5
2,5,8,4,5
2,5,6,4,4
2,4,6,4,4
2,6,6,4,5
2,6,6,4,5
2,6,6,4,5
2,4,4,4,4
2,6,7,5,5
2,6,8,4,5
2,6,6,4,5
2,5,3,4,4
2,5,6,4,4
2,5,8,4,5
2,4,6,4,4
